Plot,Nat,Nat 95% CI Lower Bound,nat 95% CI Upper Bound,mana,mana 95% CI Lower Bound,mana 95% CI Upper Bound,semi,semi 95% CI Lower Bound,semi 95% CI Upper Bound
1,23.78,18.61,28.95,18.32,13.34,23.3,25.18,20.02,30.33
2,33.39,27.43,39.35,25.57,19.58,31.55,34.05,28.41,39.7
3,39.18,32.96,45.41,29.83,23.44,36.23,39.13,33.49,44.77
4,43.19,36.87,49.52,32.77,26.18,39.36,42.6,37.09,48.12
5,46.18,39.82,52.54,34.98,28.29,41.67,45.2,39.85,50.56
6,48.51,42.15,54.87,36.74,29.99,43.49,47.26,42.08,52.44
7,50.39,44.05,56.73,38.19,31.41,44.98,48.95,43.95,53.95
8,51.94,45.63,58.25,39.43,32.62,46.23,50.38,45.55,55.21
9,53.29,47.01,59.56,40.5,33.68,47.31,51.61,46.94,56.28
10,54.35,48.11,60.6,41.44,34.62,48.26,52.69,48.18,57.21
11,55.34,49.13,61.54,42.28,35.47,49.09,53.65,49.29,58.02
12,56.21,50.03,62.38,43.04,36.23,49.84,54.52,50.29,58.75
13,56.99,50.84,63.13,43.72,36.92,50.52,55.29,51.19,59.39
14,57.7,51.58,63.82,44.35,37.56,51.14,56,52.03,59.98
15,58.35,52.25,64.46,44.93,38.15,51.71,56.65,52.79,60.52
16,58.96,52.87,65.05,45.47,38.7,52.24,57.25,53.49,61.01
17,59.53,53.44,65.62,45.97,39.21,52.74,57.8,54.14,61.46
18,60.07,53.98,66.16,46.45,39.69,53.2,58.31,54.74,61.88
19,60.58,54.48,66.69,46.89,40.14,53.63,58.78,55.3,62.27
20,61.07,54.94,67.2,47.31,40.57,54.04,59.22,55.82,62.63
21,61.55,55.39,67.71,47.7,40.97,54.43,59.64,56.31,62.96
22,62,55.8,68.2,48.08,41.36,54.8,60.02,56.76,63.28
23,62.44,56.19,68.69,48.43,41.72,55.15,60.38,57.18,63.57
24,62.86,56.55,69.17,48.77,42.06,55.48,60.71,57.58,63.85
25,63.27,56.89,69.64,49.1,42.39,55.8,61.03,57.95,64.11
26,63.66,57.21,70.11,49.41,42.71,56.11,61.33,58.3,64.36
27,64.03,57.5,70.57,49.7,43.01,56.4,61.62,58.63,64.6
28,64.4,57.76,71.03,49.99,43.3,56.68,61.86,58.91,64.81
29,64.75,58.01,71.48,50.26,43.57,56.95,62.11,59.19,65.02
30,65.08,58.24,71.93,50.53,43.84,57.21,62.34,59.46,65.21
31,65.41,58.44,72.38,50.78,44.1,57.46,62.55,59.7,65.4
32,65.72,58.63,72.82,51.02,44.34,57.71,62.75,59.93,65.58
33,66.02,58.79,73.25,51.26,44.58,57.94,62.94,60.14,65.75
34,66.31,58.94,73.68,51.49,44.8,58.17,63.12,60.34,65.91
35,66.59,59.07,74.11,51.71,45.02,58.39,63.29,60.52,66.06
36,66.86,59.19,74.53,51.92,45.24,58.61,63.45,60.69,66.21
37,67.12,59.29,74.95,52.13,45.44,58.81,63.6,60.85,66.35
38,67.37,59.38,75.37,52.33,45.64,59.02,63.74,61,66.49
39,67.61,59.45,75.77,52.52,45.83,59.22,63.88,61.13,66.62
40,67.84,59.51,76.18,52.72,46.02,59.41,64,61.25,66.75
41,68.07,59.56,76.58,52.91,46.21,59.62,64.12,61.36,66.87
42,68.28,59.6,76.97,53.08,46.37,59.79,64.23,61.46,67
43,68.49,59.62,77.36,53.26,46.54,59.97,64.33,61.55,67.12
44,68.69,59.64,77.74,53.43,46.71,60.15,64.43,61.63,67.23
45,68.88,59.65,78.12,53.6,46.87,60.33,64.52,61.7,67.35
46,69.07,59.65,78.49,53.76,47.02,60.5,64.61,61.76,67.46
47,69.25,59.64,78.85,53.93,47.18,60.68,64.69,61.82,67.57
48,69.42,59.62,79.21,54.09,47.33,60.85,64.77,61.87,67.68
49,69.58,59.6,79.56,54.24,47.47,61.02,64.84,61.91,67.78
50,69.74,59.58,79.91,54.4,47.61,61.18,64.91,61.94,67.89
51,69.9,59.54,80.25,54.55,47.75,61.35,64.98,61.97,67.99
52,70.05,59.5,80.59,54.7,47.89,61.52,65.04,61.99,68.09
53,70.19,59.46,80.91,54.85,48.02,61.68,65.1,62.01,68.19
54,70.33,59.41,81.24,55,48.15,61.85,65.15,62.02,68.28
